Date,Type,category_name,Amount,Currency,Note,Labels,date_format,amount
2024-01-10T14:08:43+00:00,Expense,Acommodation,-9.7826085,USD,,,2024-01,9.7826085
2024-01-10T22:05:22+00:00,Expense,Activities,-3.11526,USD,Donarion adams peak,,2024-01,3.11526
2024-01-11T02:31:06+00:00,Expense,Activities,-1.55763,USD,Donations,,2024-01,1.55763
2024-01-11T02:31:26+00:00,Expense,Shopping,-0.467289,USD,Ayurveda balm pain reliever,,2024-01,0.467289
2024-01-11T03:11:37+00:00,Expense,Shopping,-5.900621,USD,Ayurveda muscle pain and teas,,2024-01,5.900621
2024-01-11T04:07:02+00:00,Expense,Restaurant,-4.347826,USD,breakfast admas peak,,2024-01,4.347826
2024-01-11T15:19:59+00:00,Expense,Acommodation,-8.8509315,USD,Colombo hostel,,2024-01,8.8509315
2024-01-11T15:22:02+00:00,Expense,Groceries,-6.0559005,USD,Cosas train picar,,2024-01,6.0559005
2024-01-12T07:29:10+00:00,Expense,Groceries,-14.285714,USD,,,2024-01,14.285714
2024-01-12T08:29:31+00:00,Expense,Coffee,-0.310559,USD,,,2024-01,0.310559
2024-01-12T12:12:46+00:00,Expense,Transport,-2.4223602,USD,Bus colombo Galle,,2024-01,2.4223602
2024-01-12T12:24:07+00:00,Expense,Transport,-0.931677,USD,Galle midigama bus,,2024-01,0.931677
2024-01-12T13:34:24+00:00,Expense,Acommodation,-32.6708068,USD,Medigama 3 nights,,2024-01,32.6708068
2024-01-13T05:41:15+00:00,Expense,Sport,-62.1118,USD,Surf class x5  private Lucky’s Weligama,,2024-01,62.1118
2024-01-13T05:41:35+00:00,Expense,Transport,-3.10559,USD,Gas half tank,,2024-01,3.10559
2024-01-13T05:41:51+00:00,Expense,Transport,-4.658385,USD,Scooter rent day,,2024-01,4.658385
2024-01-13T09:00:21+00:00,Expense,Restaurant,-4.968944,USD,,,2024-01,4.968944
2024-01-14T05:00:18+00:00,Expense,Gifts,-0.6832298,USD,Fisherman tip,,2024-01,0.6832298
2024-01-14T06:59:29+00:00,Expense,Restaurant,-4.5031055,USD,,,2024-01,4.5031055
2024-01-14T13:13:39+00:00,Expense,Shopping,-3.10559,USD,Aro y aloe vera cream,,2024-01,3.10559
2024-01-14T13:37:59+00:00,Expense,Groceries,-8.2298135,USD,,,2024-01,8.2298135
2024-01-14T13:50:12+00:00,Expense,Groceries,-6.04347814,USD,,,2024-01,6.04347814
2024-01-15T01:37:10+00:00,Expense,Groceries,-1.4285714,USD,,,2024-01,1.4285714
2024-01-15T05:30:41+00:00,Expense,Transport,-0.7763975,USD,Midigama to Galle,,2024-01,0.7763975
2024-01-15T08:09:33+00:00,Expense,Shopping,-17.080745,USD,Sunglasses ,,2024-01,17.080745
2024-01-15T08:41:57+00:00,Expense,Shopping,-5.279503,USD,Polera blanca,,2024-01,5.279503
2024-01-15T09:15:34+00:00,Expense,Groceries,-2.3291925,USD,Cinamoon honey,,2024-01,2.3291925
2024-01-15T11:18:43+00:00,Expense,Transport,-0.931677,USD,,,2024-01,0.931677
2024-01-16T05:16:12+00:00,Expense,Transport,-13.975155,USD,Scooter 3 days,,2024-01,13.975155
2024-01-16T06:22:21+00:00,Expense,Groceries,-11.52795008,USD,,,2024-01,11.52795008
2024-01-16T15:38:51+00:00,Expense,Flights,-99.0,USD,Flight Cok Delhi,,2024-01,99.0
2024-01-17T08:37:16+00:00,Expense,Alcohol,-3.726708,USD,,,2024-01,3.726708
2024-01-17T08:38:19+00:00,Expense,Restaurant,-7.453416,USD,Hamburger manikas,,2024-01,7.453416
